iter	RMSE
237	0.3460132087
238	0.3458781292
239	0.3456647409
240	0.3455164777
241	0.3453524422
242	0.3453099714
243	0.345080373
244	0.3450409882
245	0.3449146936
246	0.3447789317
247	0.3445889813
248	0.3443823973
249	0.3443727178
250	0.3443449705
251	0.3442114313
252	0.3441732995
253	0.3440743851
254	0.3439794057
255	0.3438695946
256	0.3437905153
257	0.3437850062
258	0.3434335744
259	0.343302513
260	0.3431748658
261	0.3431125771
262	0.3429950655
263	0.3428726954
264	0.3425403583
265	0.3424464782
266	0.3423752723
267	0.3423438531
268	0.3422089044
269	0.3420892933
270	0.3420012447
271	0.3418086189
272	0.3416939834
273	0.3415137704
274	0.3414035484
275	0.3412946381
276	0.3411885302
277	0.3410851462
278	0.3409844105
279	0.3408859541
280	0.3408089207
281	0.3406456046
282	0.3405494091
283	0.34045568
284	0.3403749078
285	0.3402835049
286	0.3401940788
287	0.3400481262
288	0.3399884622
289	0.3399015823
290	0.3397322527
291	0.339647178
292	0.3395988666
293	0.3395159582
294	0.3393576115
295	0.3389921918
296	0.3389109445
297	0.3388316321
298	0.3387549554
299	0.3386949264
300	0.3386176787
301	0.3385389023
302	0.3383680185
303	0.3382658653
304	0.3381903338
305	0.3381282439
306	0.3381085402
307	0.3377602524
308	0.3377346197
309	0.3376605766
310	0.3375884143
311	0.3374893632
312	0.3373362513
313	0.337297069
314	0.3372542342
315	0.3371866932
316	0.3371395095
317	0.3370962935
318	0.3370524585
319	0.336851119
320	0.3367806101
321	0.3366420893
322	0.3365734889
323	0.3364896928
324	0.3364225188
325	0.3361607868
326	0.3361529454
327	0.336095494
328	0.3360300405
329	0.3356969824
330	0.3356576486
331	0.3356090439
332	0.3354465763
333	0.3353531775
334	0.3352744228
335	0.3351290199
336	0.3350925454
337	0.3349484711
338	0.334765222
339	0.3345278923
340	0.3344642441
341	0.3341465946
342	0.3340842815
343	0.3340205837
344	0.3339387193
345	0.3339313765
346	0.3338516596
347	0.3337941469
348	0.3336876586
349	0.3336449176
